1,"平成22年国勢調査人口等基本集計（総務省統計局）","","","","","","","","","","",""
2,"","","","","","","第1表　人口，人口増減(平成17年～22年)，面積及び人口密度 － 全国※，都道府県※，市町村※・旧市町村 ","","","","",""
3,"","","","","","","Table 1. Population, Population Change (2005-2010), Area and Population Density - Japan*, Prefectures*, Shi*, Machi*, Mura*, and Municipalities in 2000 ","","","","",""
4,"","","","","","","","","","","",""
5,"","","","","","","(注) 人口欄の「平成17年（組替）」は，平成22年10月1日現在の市区町村の境域に基づいて組み替えた平成17年の人口を示す。","","","","",""
6,"","","","","","","1) 国土交通省国土地理院「平成22年全国都道府県市区町村別面積調」による。ただし，平成12年の地域については「平成12年全国都道府県市区町村別面積調」による。また，境界未定地域については，総務省統計局において面積を推定している。","","","","",""
7,"","","","","","","2) 「面積及び人口集中地区に関する留意事項」を参照。","","","","",""
8,"","","","","","","to21-01.0001","to21-01.0002","to21-01.0003","to21-01.0004","to21-01.0005","to21-01.0006"
9,"","","","","","","0","0","0","0","0","0"
10,"※大項目","地域コード","地域識別コード","境域年次(2010)","境域年次(2000)","","人口　平成22年　(a)","人口　平成17年（組替） 2)","平成17年～22年の人口増減数 2)","平成17年～22年の人口増減率（％） 2)","面積（km2）　(b) 1)2)","人口密度（1km2当たり）　(a)/(b) 2)"
11,"","13000","a","2010","2000","東京都",13159388,12576611,582777,4.6338158984,2187.50,6015.7
12,"","13001","b","2010","2000","東京都 市部",13072823,12488564,584259,4.6783521308,1405.76,9299.5
13,"","13002","b","2010","2000","東京都 郡部",86565,88047,-1482,-1.6831919316,781.74,110.7
14,"","13100","1","2010","2000","特別区部",8945695,8489653,456042,5.3717389863,621.83,14386.1
15,"","13101","0","2010","2000","千代田区",47115,41778,5337,12.7746660922,11.64,4047.7
16,"","13102","0","2010","2000","中央区",122762,98399,24363,24.7593979614,10.18,12059.1
17,"","13103","0","2010","2000","港区",205131,185861,19270,10.3679631553,20.34,10085.1
18,"","13104","0","2010","2000","新宿区",326309,305716,20593,6.7359902655,18.23,17899.6
19,"","13105","0","2010","2000","文京区",206626,189632,16994,8.9615676679,11.31,18269.3
