1,"ïΩê¨27îNçëê®í≤ç∏êlå˚ìôäÓñ{èWåvÅiëçñ±è»ìùåvã«Åj","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2,"","","","","","","ëÊ5-2ï\Å@îzãÙä÷åW(4ãÊï™)ÅCîNóÓ(5çŒäKãâ)ÅCíjèóï 15çŒà»è„êlå˚ÅCîzãÙä÷åWï äÑçáãyÇ—ïΩãœîNóÓ(ëçêîãyÇ—ì˙ñ{êl) Å| ëSçëÅ¶ÅCëSçëésïîÅEåSïîÅCìsìπï{åßÅ¶ÅCìsìπï{åßésïîÅEåSïîÅCésãÊí¨ë∫Å¶ ","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3,"","","","","","","Table 5-2. Population 15 Years of Age and Over (Total and Japanese Population), by Marital Status (4 Groups), Age (Five-Year Groups) and Sex, Percentage by Marital Status and Average Age - Japan*, All Shi, All Gun, Prefectures*, All Shi of Prefectures, All Gun of Prefectures, Shi*, Ku*, Machi* and Mura* ","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
4,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
5,"","","","","","","Å¶ëÂçÄñ⁄","01Åikoku2A.0000  ëçêîÅiçëê–Åj 1)Åj","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
6,"","","","","","","","02Åikoku2A.0001  ì˙ñ{êlÅj","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
7,"","","","","","","1) ì˙ñ{êlÅEäOçëêlÇÃï Åuïsè⁄ÅvÇä‹ÇﬁÅB","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
8,"","","","","","","2) îzãÙä÷åWÅuïsè⁄ÅvÇèúÇ¢ÇƒéZèoÅB","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
9,"","","","","","","danjo.0000","danjo.0000","danjo.0000","danjo.0000","danjo.0000","danjo.0000","danjo.0000","danjo.0000","danjo.0000","danjo.0000","danjo.0001","danjo.0001","danjo.0001","danjo.0001","danjo.0001","danjo.0001","danjo.0001","danjo.0001","danjo.0001","danjo.0001","danjo.0002","danjo.0002","danjo.0002","danjo.0002","danjo.0002","danjo.0002","danjo.0002","danjo.0002","danjo.0002","danjo.0002"
10,"","","","","","","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
11,"","","","","","","hai4.0000","hai4.0001","hai4.0002","hai4.0003","hai4.0004","hai4.0005","to21-05.0001","to21-05.0002","to21-05.0003","to21-05.0004","hai4.0000","hai4.0001","hai4.0002","hai4.0003","hai4.0004","hai4.0005","to21-05.0001","to21-05.0002","to21-05.0003","to21-05.0004","hai4.0000","hai4.0001","hai4.0002","hai4.0003","hai4.0004","hai4.0005","to21-05.0001","to21-05.0002","to21-05.0003","to21-05.0004"
12,"","","","","","","0","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1"
13,"","","","","","","ëçêîÅiíjèóï Åj","","","","","","","","","","íj","","","","","","","","","","èó","","","","","","","","",""
14,"Å¶ëÂçÄñ⁄","ínàÊÉRÅ[Éh","ínàÊéØï ÉRÅ[Éh","","","","ëçêîÅiîzãÙä÷åWÅj","ñ¢ç•","óLîzãÙ","éÄï ","ó£ï ","îzãÙä÷åWÅuïsè⁄Åv","ÅiîzãÙä÷åWï äÑçáÅiÅìÅjÅjñ¢ç• 2)","ÅiîzãÙä÷åWï äÑçáÅiÅìÅjÅjóLîzãÙ 2)","ÅiîzãÙä÷åWï äÑçáÅiÅìÅjÅjéÄï  2)","ÅiîzãÙä÷åWï äÑçáÅiÅìÅjÅjó£ï  2)","ëçêîÅiîzãÙä÷åWÅj","ñ¢ç•","óLîzãÙ","éÄï ","ó£ï ","îzãÙä÷åWÅuïsè⁄Åv","ÅiîzãÙä÷åWï äÑçáÅiÅìÅjÅjñ¢ç• 2)","ÅiîzãÙä÷åWï äÑçáÅiÅìÅjÅjóLîzãÙ 2)","ÅiîzãÙä÷åWï äÑçáÅiÅìÅjÅjéÄï  2)","ÅiîzãÙä÷åWï äÑçáÅiÅìÅjÅjó£ï  2)","ëçêîÅiîzãÙä÷åWÅj","ñ¢ç•","óLîzãÙ","éÄï ","ó£ï ","îzãÙä÷åWÅuïsè⁄Åv","ÅiîzãÙä÷åWï äÑçáÅiÅìÅjÅjñ¢ç• 2)","ÅiîzãÙä÷åWï äÑçáÅiÅìÅjÅjóLîzãÙ 2)","ÅiîzãÙä÷åWï äÑçáÅiÅìÅjÅjéÄï  2)","ÅiîzãÙä÷åWï äÑçáÅiÅìÅjÅjó£ï  2)"
15,"","","","","","00 ëSçë",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,"01","00000","a","nen5F.0000","0","ëçêîÅi15çŒà»è„îNóÓÅj",109754177,29241531,62624975,9578676,5596116,2712879,27.3179899220,58.5054331086,8.9485798276,5.2279971418,52879791,16323713,31235973,1655848,2108908,1555349,31.8049497742,60.8598394504,3.2262367314,4.1089740440,56874386,12917818,31389002,7922828,3487208,1157530,23.1847575893,56.3366353622,14.2198045058,6.2588025426
17,"01","00000","a","nen5F.0001","1","Å@15Å`19çŒ",6008388,5923785,24411,451,1839,57902,99.5512803492,0.4102353993,0.0075792129,0.0309050387,3085416,3042192,9552,204,653,32815,99.6590121015,0.3129134794,0.0066828256,0.0213915936,2922972,2881593,14859,247,1186,25087,99.4377968760,0.5127532666,0.0085234576,0.0409263998
18,"01","00000","a","nen5F.0002","1","Å@20Å`24çŒ",5968127,5328101,361933,1607,24470,252016,93.2119932591,6.3318049632,0.0281135198,0.4280882579,3046392,2755989,137890,585,6436,145492,95.0046192561,4.7533524079,0.0201661553,0.2218621807,2921735,2572112,224043,1022,18034,106524,91.3648035618,7.9583022374,0.0363027851,0.6405914157
19,"01","00000","a","nen5F.0003","1","Å@25Å`29çŒ",6409612,4075575,1901342,2442,97468,332785,67.0674843961,31.2884010027,0.0401854455,1.6039291558,3255717,2222616,804558,792,28221,199530,72.7251310211,26.3255487966,0.0259146446,0.9234055377,3153895,1852959,1096784,1650,69247,133255,61.3432583823,36.3096562318,0.0546241856,2.2924612003
20,"01","00000","a","nen5F.0004","1","Å@30Å`34çŒ",7290878,2860030,3913368,6224,220327,290929,40.8578691073,55.9056644556,0.0889149335,3.1475515036,3684747,1648679,1779339,1689,71643,183397,47.0869521756,50.8186556614,0.0482385366,2.0461536265,3606131,1211351,2134029,4535,148684,107532,34.6238880192,60.9966732398,0.1296233149,4.2498154261
21,"01","00000","a","nen5F.0005","1","Å@35Å`39çŒ",8316157,2375933,5302579,15636,371130,250879,29.4587861696,65.7457684658,0.1938680849,4.6015772798,4204202,1416172,2496236,4163,126664,160967,35.0257157944,61.7385830900,0.1029621083,3.1327390073,4111955,959761,2806343,11473,244466,89912,23.8625245926,69.7740675572,0.2852530418,6.0781548084
22,"01","00000","a","nen5F.0006","1","Å@40Å`44çŒ",9732218,2336904,6504349,38260,603335,249370,24.6434826331,68.5906702290,0.4034652881,6.3623818498,4914018,1423716,3109270,9655,208673,162704,29.9646792445,65.4402129600,0.2032069444,4.3919008510,4818200,913188,3395079,28605,394662,86666,19.3000409592,71.7542978662,0.6045608042,8.3411003704
23,"01","00000","a","nen5F.0007","1","Å@45Å`49çŒ",8662804,1775909,5945542,69976,664559,206818,21.0017968336,70.3116348584,0.8275321175,7.8590361905,4354877,1092022,2867235,16643,243280,135697,25.8823278457,67.9571622922,0.3944605350,5.7660493271,4307927,683887,3078307,53333,421279,71121,16.1415698524,72.6563123258,1.2588020315,9.9433157902
24,"01","00000","a","nen5F.0008","1","Å@50Å`54çŒ",7930296,1274000,5703222,126763,667403,158908,16.3934679365,73.3874309197,1.6311500597,8.5879510842,3968311,806163,2769165,28814,260642,103527,20.8591993757,71.6512229403,0.7455526622,6.7440250218,3961985,467837,2934057,97949,406761,55381,11.9755419285,75.1050528797,2.5072671814,10.4121380104
