1,"ïΩê¨27îNçëê®í≤ç∏êlå˚ìôäÓñ{èWåvÅiëçñ±è»ìùåvã«Åj","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2,"","","","","ëÊ3-1ï\Å@îNóÓ(äeçŒ)ÅCíjèóï êlå˚ÅCîNóÓï äÑçáÅCïΩãœîNóÓãyÇ—îNóÓíÜà êî(ëçêîãyÇ—ì˙ñ{êl) Å| ëSçëÅ¶ÅCëSçëésïîÅEåSïîÅCìsìπï{åßÅ¶ÅCìsìπï{åßésïîÅEåSïîÅC21ëÂìsésÅCì¡ï ãÊÅCêlå˚50ñúà»è„ÇÃés","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3,"","","","","Table 3-1. Population (Total and Japanese Population), by Age (Single Years) and Sex, Percentage by Age, Average Age and Median Age - Japan*, All Shi, All Gun, Prefectures*, All Shi of Prefectures, All Gun of Prefectures, 21 Major Cities, Ku-area of Tokyo and Shi with Population of 500,000 or More ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
4,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
5,"","","","","Å¶ëÂçÄñ⁄","0101(danjo.0000 ëçêîÅiíjèóï ÅjÅCkoku2A.0000  ëçêîÅiçëê–Åj 1))","","","","","","","0202(danjo.0001 íjÅCkoku2A.0001  ì˙ñ{êl)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
6,"","","","","","0102(danjo.0000 ëçêîÅiíjèóï ÅjÅCkoku2A.0001  ì˙ñ{êl)","","","","","","","0301(danjo.0002 èóÅCkoku2A.0000  ëçêîÅiçëê–Åj 1))","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
7,"","","","","","0201(danjo.0001 íjÅCkoku2A.0000  ëçêîÅiçëê–Åj 1))","","","","","","","0302(danjo.0002 èóÅCkoku2A.0001  ì˙ñ{êl)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
8,"","","","","1) ì˙ñ{êlÅEäOçëêlÇÃï Åuïsè⁄ÅvÇä‹ÇﬁÅB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
9,"","","","","2) îNóÓÅuïsè⁄ÅvÇèúÇ¢ÇƒéZèoÅB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
10,"","","","","nenKAX.0000","nenKAX.0001","nenKAX.0002","nenKAX.0003","nenKAX.0004","nenKAX.0005","nenKAX.0006","nenKAX.0007","nenKAX.0008","nenKAX.0009","nenKAX.0010","nenKAX.0011","nenKAX.0012","nenKAX.0013","nenKAX.0014","nenKAX.0015","nenKAX.0016","nenKAX.0017","nenKAX.0018","nenKAX.0019","nenKAX.0020","nenKAX.0021","nenKAX.0022","nenKAX.0023","nenKAX.0024","nenKAX.0025","nenKAX.0026","nenKAX.0027","nenKAX.0028","nenKAX.0029","nenKAX.0030","nenKAX.0031","nenKAX.0032","nenKAX.0033","nenKAX.0034","nenKAX.0035","nenKAX.0036","nenKAX.0037","nenKAX.0038","nenKAX.0039","nenKAX.0040","nenKAX.0041","nenKAX.0042","nenKAX.0043","nenKAX.0044","nenKAX.0045","nenKAX.0046","nenKAX.0047","nenKAX.0048","nenKAX.0049","nenKAX.0050","nenKAX.0051","nenKAX.0052","nenKAX.0053","nenKAX.0054","nenKAX.0055","nenKAX.0056","nenKAX.0057","nenKAX.0058","nenKAX.0059","nenKAX.0060","nenKAX.0061","nenKAX.0062","nenKAX.0063","nenKAX.0064","nenKAX.0065","nenKAX.0066","nenKAX.0067","nenKAX.0068","nenKAX.0069","nenKAX.0070","nenKAX.0071","nenKAX.0072","nenKAX.0073","nenKAX.0074","nenKAX.0075","nenKAX.0076","nenKAX.0077","nenKAX.0078","nenKAX.0079","nenKAX.0080","nenKAX.0081","nenKAX.0082","nenKAX.0083","nenKAX.0084","nenKAX.0085","nenKAX.0086","nenKAX.0087","nenKAX.0088","nenKAX.0089","nenKAX.0090","nenKAX.0091","nenKAX.0092","nenKAX.0093","nenKAX.0094","nenKAX.0095","nenKAX.0096","nenKAX.0097","nenKAX.0098","nenKAX.0099","nenKAX.0100","nenKAX.0101","nenKAX.0102","nenKAX.0103","nenKAX.0104","nenKAX.0105","nenKAX.0106","nenKAX.0107","nenKAX.0108","nenKAX.0109","nenKAX.0110","nenKAX.0111","nenKAX.0112","nenHN.0001","nenHN.0002","nen5A.0001","nen5A.0002","nen5A.0003","nen5A.0004","nen5A.0005","nen5A.0006","nen5A.0007","nen5A.0008","nen5A.0009","nen5A.0010","nen5A.0011","nen5A.0012","nen5A.0013","nen5A.0014","nen5A.0015","nen5A.0016","nen5A.0017","nen5A.0018","nen5A.0019","nen5A.0020","nen5A.0021","nen5A.0022","nen5A.0023","nen5A.0024","nen5A.0025","nen5A.0026","nen5A.0027","nen5A.0028","nen5A.0029","nen5A.0030","nen5A.0031","nen5A.0032","nen5A.0033","nen5A.0034","nen5A.0035"
11,"","","","","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","2","3","4","1","1","1","2","3","4"
